hostname,n_planets,avg_pl_rade,avg_pl_bmasse,avg_orbper,sy_dist,st_teff
Kepler-279,4,3.7875000000000005,1080.9575,50.20319525,1037.4,6689.45
Kepler-245,4,2.3825,500.35999999999996,16.111982764,861.527,5174.0
Kepler-65,4,4.8549999999999995,67.98499999999999,68.736521,303.728,6220.0
WASP-47,4,6.113333333333332,211.375,150.88731550000003,264.78,5565.0
Kepler-305,4,2.8634538249999997,6.6425,8.430845,868.477,5090.0
Kepler-164,4,2.7075,8.434999999999999,34.963606,890.758,5888.0
Kepler-208,4,1.4249999999999998,2.615,9.77162675,775.328,6092.0
K2-285,4,2.6374999999999997,10.64,8.95712575,154.961,4975.0
Kepler-100,4,2.605,9.5506795675,28.981232,304.645,5884.0
Kepler-197,4,1.0950000000000002,2.25325,14.20907025,330.575,6004.0
K2-32,4,3.2822500000000003,7.975,16.42982,157.682,5271.0
Kepler-85,4,1.5564999999999998,3.3216975,15.984995249999999,765.025,5505.2
K2-187,4,1.725,3.7574999999999994,6.1004337500000005,330.916,5438.0
K2-72,4,1.135,1.5374999999999999,13.171323000000001,66.4321,3360.47
GJ 3293,4,3.59,13.8775,53.651775,20.1903,3466.0
Kepler-324,4,1.8646561099999999,664.461,26.08483167,501.574,5233.0
Kepler-1542,4,0.76,0.381,4.4843234925,399.114,5564.0
HD 164922,4,5.505000000000001,35.8800300675,334.24025,22.0016,5393.43
rho CrB,4,6.5475,100.2441122125,109.2957,17.4671,5817.0
Kepler-106,4,1.7075,8.7525,21.89009,444.322,5858.0
Kepler-167,4,3.6975,82.5266727675,276.208774975,341.908,4884.0
Kepler-176,4,1.9974999999999998,73.5269375,23.7776375,527.321,5295.0
Kepler-235,4,1.9450000000000003,4.550000000000001,19.352335749999998,428.018,4255.0
HR 8799,4,13.0286325,2794.575,74203.9,41.2441,7400.0
HD 141399,4,13.925,287.71560750000003,1591.5575,37.0169,5600.0
Kepler-107,4,1.7240000000000002,8.899999999999999,7.697251699999999,525.997,5854.0
TOI-5789,4,2.3649999999999998,5.755,27.080359499999997,20.4581,5185.0
Kepler-224,4,2.195,5.715,9.76272425,782.088,5018.0
tau Cet,4,1.4975,2.86,217.1025,3.60304,5310.0
TOI-2076,4,2.7175733450000004,25.625,17.379648125000003,41.9091,5201.0
Kepler-1388,4,2.5425,7.03,19.1027665025,453.795,4098.0
DMPP-1,4,2.965,10.3375,8.388000000000002,62.5388,6196.0
Kepler-51,4,6.994999999999999,4.775,131.236,783.831,6018.0
Kepler-411,4,3.35525,19.5,25.09241725,153.676,4974.0
TOI-500,4,3.399,13.655000000000001,23.67919425,47.3924,4440.0
Kepler-342,4,1.895,4.391249999999999,20.62700940325,781.611,6366.0
AU Mic,4,3.0921977125,12.96825,18.2921825,9.7221,3678.0
Kepler-49,4,2.04575,63.7925375,9.82066425,311.222,4252.0
Kepler-138,4,1.11425,1.225,21.354300000000002,66.8624,3841.0
HD 3167,4,2.355,7.21,33.96156025,47.2899,5261.0
